id,date,agent,action_type,domain_files_changed,external_domain_used,tools_used,summary,risk_level,needs_review
4,2026-06-09,AI Contradictions,contradiction_scan,"shared-info/contradictions.csv","agents/permissions/info/permissions.csv;agents/api/info/api_list.csv;agents/components/info/components_list.csv","PowerShell;apply_patch","נמצאה הרשאת admin כללית ולא מפורטת לפני יצירת חוזי API ו-Components",High,yes
5,2026-06-09,AI Permissions,permissions_update,"agents/permissions/info/permissions.csv;agents/permissions/domain/permissions.md","agents/api/info/api_list.csv;agents/components/info/components_list.csv","PowerShell;apply_patch","הוגדרו הרשאות מפורשות לתפקידי guest ו-admin ללא הרשאה גורפת",High,yes
6,2026-06-09,AI DB,database_implementation,"agents/db/domain/repo.ts;agents/db/domain/start.ts;agents/db/info/users.csv;agents/db/info/media_assets.csv;agents/db/info/site_settings.csv;agents/db/info/tables-index.csv","product/project_definition.md;agents/permissions/info/permissions.csv;agents/api/info/api_list.csv","PowerShell;apply_patch;tsc","תכנון ומימוש טבלאות users site_settings media_assets שכבת repo ו-bootstrap מאובטח למנהל",High,yes
7,2026-06-09,AI API,api_implementation,"src/server/controllers;src/server/routes;src/server/services;src/server/validators;src/server/index.ts;agents/api/domain/api.md;agents/api/info/api_list.csv","agents/db/domain/repo.ts;agents/db/info;agents/permissions/info/permissions.csv","PowerShell;apply_patch;tsc","מימוש Authentication הגדרות כלליות ומדיה מאובטחת כולל JWT HttpOnly rate limit והעלאת קבצים בינארית",High,yes
8,2026-06-09,AI Components,frontend_implementation,"src/index.html;src/main.ts;src/app;src/pages;src/components;src/services;src/models;src/types;agents/components/info/components_list.csv","agents/permissions/info/permissions.csv;agents/api/info/api_list.csv;design-system","apply_patch;PowerShell;tsc","מומש SPA ניהול RTL רספונסיבי הכולל התחברות החלפת סיסמה הגדרות כלליות וניהול מדיה",High,yes
9,2026-06-09,AI Manager,integration,"package.json;tsconfig.json;.env.example;scripts/copy-static.mjs;src/server/utils;src/server/middlewares;tests;README.md;shared-info/contracts.csv;shared-info/decisions.csv","agents/db;agents/api;agents/components;agents/permissions","npm install;npm test;PowerShell;apply_patch","חיבור שכבות התשתית טעינת env אריזת frontend בדיקות אבטחה ותיעוד הפעלה",High,yes
10,2026-06-09,AI QA,behavioral_qa,"agents/qa/info/test_cases.csv;agents/qa/info/test_results.csv;agents/qa/info/regression_tests.csv","product;agents/api/info/api_list.csv;agents/components/info/components_list.csv;agents/permissions/info/permissions.csv;src;tests","npm test;rg;PowerShell;apply_patch","הוכנו 19 תרחישי QA ו-17 בדיקות רגרסיה; 12 PASS; 5 BLOCKED; 2 NOT_RUN; הבדיקות האוטומטיות עברו 6 מתוך 6",High,yes
11,2026-06-09,AI Contradictions,final_contradiction_scan,"shared-info/contradictions.csv","permissions;api;db;components;contracts;qa;src","PowerShell;rg;npm test;apply_patch","נסגרה סתירת admin=all; נמצאו 2 High חוסמות ו-2 Medium פתוחות",High,yes
12,2026-06-09,AI Manager,contradiction_resolution,"src/server/routes/auth-routes.ts;src/app/router.ts;agents/permissions/info/permissions.csv;shared-info/contradictions.csv","agents/api/info/api_list.csv;agents/components/info/components_list.csv","apply_patch","נוספה הגנת admin ל-logout ונסגרו אי התאמות navbar ובדיקת session ב-login",High,yes
13,2026-06-09,AI Contradictions,verification_scan,"shared-info/contradictions.csv","src/server/routes/auth-routes.ts;src/app/router.ts;agents/permissions/info/permissions.csv;agents/api/info/api_list.csv","npm test;PowerShell;rg","אומתו תיקוני logout navbar ו-session; נותר חסם QA סביבתי ופער תיעודי Medium",High,yes
14,2026-06-09,AI API,api_documentation_fix,"agents/api/info/api_list.csv;shared-info/contradictions.csv","src/server/routes/auth-routes.ts","apply_patch","תיעוד auth_logout עודכן ל-sameOrigin ו-requireAdmin והסתירה נסגרה",Medium,no
15,2026-06-09,AI Manager,architecture_design,"design-system/project-profile.json;design-system/profile_schema.md;design-system/project_design_checklist.md;agents/impact/domain/design_profiles_impact_report.md;product/project_definition.md","design-system;src/components;src/pages","rg;PowerShell;apply_patch","הוגדרה ארכיטקטורת Design Profiles המפרידה תשתית פונקציונלית מזהות חזותית",High,yes
16,2026-06-09,AI Components,design_profile_implementation,"src/design;src/app/styles.css;src/components;src/pages;src/main.ts;scripts/check-design-profile.mjs;scripts/init-project-design.mjs;scripts/copy-static.mjs;package.json","design-system/project-profile.json;design-system/profile_schema.md","apply_patch;npm test;rg","רכיבים הועברו לטוקנים סמנטיים ונוספו navigation profiles density ו-production guard",High,yes
17,2026-06-09,AI Components,design_profile_hardening,"design-system/reference-design.json;scripts/check-design-profile.mjs;src/app/styles.css;src/components/sidebar;src/design/active-profile.css;tests/design-profile.test.ts","design-system/project-profile.json","apply_patch;npm test;rg","מנגנון השונות חוזק להשוואה סמנטית של שמונה ממדים ונוספו הגנות rail וצפיפות מלאה יותר",High,yes
18,2026-06-09,AI QA,design_profiles_qa,"agents/qa/info/test_cases.csv;agents/qa/info/test_results.csv;qa/test_cases.csv;qa/test_results.csv","design-system/project-profile.json;design-system/reference-design.json;scripts/check-design-profile.mjs;src/design/active-profile.css","npm test;rg;PowerShell","תרחישי Design Profiles עודכנו להשוואה סמנטית; npm test עבר 10 מתוך 10; Visual browser נשאר NOT_RUN",High,yes
19,2026-06-09,AI Contradictions,design_profiles_scan,"shared-info/contradictions.csv","design-system;src/design;src/app;src/components;src/pages;scripts;tests;qa","npm test;rg;PowerShell","לא נמצאו High או Critical חדשים ב-Design Profiles; חסם QA הסביבתי הקיים עודכן ל-5 BLOCKED ו-3 NOT_RUN",High,yes
20,2026-06-09,AI Manager,manager_bootstrap_architecture,"AGENTS.md;manager/AI_MANAGER.md;shared-info/system_manifest.json;shared-info/manager_bootstrap.md;shared-info/source_of_truth.md;shared-info/project_status.json;shared-info/environment_contract.csv;shared-info/modules.csv","all sources of truth","apply_patch;PowerShell","נבנה bootstrap מחייב ומפת מערכת קריאה למכונה עבור AI Manager",High,yes
21,2026-06-09,AI Manager,context_validation_implementation,"scripts/context-utils.mjs;scripts/build-system-context.mjs;scripts/check-system-context.mjs;package.json;tests/context.test.ts","permissions;db;api;components;qa;product;design;environment","apply_patch;node;npm","נוסף snapshot מאוחד עם hashes ולידציה להפניות freshness mirrors ומשתני סביבה",High,yes
22,2026-06-09,AI Product Owner,source_consolidation,"agents/product-owner/AGENTS.md;product","agents/product-owner/info","apply_patch","מקור אמת Product אוחד תחת product ונמחקו CSV ריקים מתחרים",High,yes
23,2026-06-09,AI QA,qa_blocker_resolution,"agents/qa/info/test_cases.csv;agents/qa/info/test_results.csv;shared-info/contradictions.csv;shared-info/project_status.json","MySQL;src/server;dist/public","npm test;node E2E;PowerShell;apply_patch","חסם MySQL E2E נסגר לאחר db:init ובדיקות HTTP מול מסדי QA זמניים; נותר Visual QA כחסם Medium",Medium,no
24,2026-06-09,AI Product Owner,crm_specification,"product/project_definition.md;product/features.csv;product/user_stories.csv;product/roadmap.md;agents/impact/domain/digital_center_crm_impact_report.md;agents/impact/info/impact_reports.csv;shared-info/project_status.json","pasted CRM specification;shared-info/source_of_truth.md;shared-info/change_levels.csv","PowerShell;apply_patch","הופק אפיון מלא ל-CRM ואתר תדמית המרכז הדיגיטלי כולל מסכים הרשאות ERD ישויות זרימות MVP וסיכונים",High,yes
25,2026-06-09,AI Contradictions,specification_scan,"shared-info/action_log.csv","product;permissions;db;api;components;qa","PowerShell;npm test","נסרק האפיון החדש: אין High או Critical פתוחים; הפער בין האפיון ל-roles/tables/apis הקיימים מסווג כ-planned לפני מימוש",Medium,no
26,2026-06-09,AI Permissions,crm_identity_foundation,"agents/permissions/info/permissions.csv;agents/api/info/api_list.csv;agents/components/info/components_list.csv;shared-info/contracts.csv;shared-info/decisions.csv","product/project_definition.md;scripts/check-system-context.mjs","apply_patch;npm test;node E2E","הורחבו תפקידי CRM ל-student instructor admin ונוספה ולידציה לחוזי API מרובי roles",High,yes
27,2026-06-09,AI DB,crm_identity_schema,"agents/db/domain/start.ts;agents/db/domain/repo.ts;agents/db/info/users.csv;agents/db/info/students.csv;agents/db/info/instructors.csv;agents/db/info/tables-index.csv;shared-info/system_manifest.json","product/project_definition.md;permissions","apply_patch;npm test;node MySQL check","users הורחבה בפרטי זהות ונוצרו טבלאות students ו-instructors עם בדיקת db:init במסד זמני",High,yes
28,2026-06-09,AI API,crm_identity_auth,"src/server/utils/jwt.ts;src/server/types/express.d.ts;src/server/middlewares/auth.ts;src/server/routes/auth-routes.ts;src/server/services/auth-service.ts;tests/jwt.test.ts","permissions;api;db","apply_patch;npm test;node HTTP E2E","JWT ואימות תומכים בתפקידי CRM; נתיבי admin נשארים חסומים למי שאינו admin",High,yes
29,2026-06-09,AI QA,crm_identity_qa,"agents/qa/info/test_cases.csv;agents/qa/info/test_results.csv;agents/qa/info/regression_tests.csv","db;api;permissions;tests","npm test;node MySQL check;node HTTP E2E;apply_patch","נוספו תרחישי QA ורגרסיה לזהויות CRM; 14 בדיקות אוטומטיות ו-E2E נקודתי עברו",High,yes
30,2026-06-09,AI API,admin_user_management,"src/server/controllers/users-controller.ts;src/server/services/users-service.ts;src/server/validators/users.ts;src/server/routes/admin-routes.ts;agents/db/domain/repo.ts;agents/api/info/api_list.csv;agents/permissions/info/permissions.csv","crm identity foundation;product specification","apply_patch;npm test;node HTTP E2E","מומשו API ניהול משתמשים למנהל: יצירה רשימה צפייה עריכה איפוס סיסמה ושינוי סטטוס ללא מחיקה פיזית",High,yes
31,2026-06-09,AI QA,admin_user_management_qa,"agents/qa/info/test_cases.csv;agents/qa/info/test_results.csv;agents/qa/info/regression_tests.csv;shared-info/project_status.json","src/server;MySQL","npm test;node HTTP E2E;apply_patch","ניהול משתמשים עבר E2E מול MySQL ושרת זמניים כולל יצירת תלמיד מדריך עדכון איפוס סיסמה וארכיון",High,yes
32,2026-06-09,AI Components,admin_user_management_ui,"src/pages/admin-users;src/services/users-service.ts;src/app/router.ts;src/app/config.ts;src/components/sidebar/script.ts;src/types/app.ts;src/app/styles.css","agents/components/info/components_list.csv;agents/permissions/info/permissions.csv;shared-info/contracts.csv","apply_patch;npm test;rg","נוסף עמוד ניהול משתמשים למנהל ב-SPA עם רשימה סינון יצירה עריכה איפוס סיסמה ושינוי סטטוס דרך APIs קיימים",High,yes
33,2026-06-09,AI QA,admin_user_management_ui_qa,"agents/qa/info/test_cases.csv;agents/qa/info/test_results.csv;agents/qa/info/regression_tests.csv;shared-info/project_status.json","dist/public;src","npm test;rg;context:check","עמוד ניהול משתמשים עבר build context design check ו-14 טסטים; לא נמצא localStorage או sessionStorage; Visual QA נשאר Medium",High,yes
34,2026-06-09,AI Contradictions,admin_user_management_ui_scan,"shared-info/contradictions.csv","components;permissions;contracts;qa","context:check;npm test","לא נמצאו High או Critical פתוחים לאחר הוספת UI ניהול המשתמשים; החסם היחיד שנותר הוא Visual QA ברמת Medium",Medium,no
35,2026-06-09,AI QA,visual_responsive_qa,"src/pages/admin-users/style.css;src/pages/admin-users/script.ts;qa/visual-screenshots;agents/qa/info/test_results.csv;shared-info/project_status.json","dist/public;Chrome headless","npm run build;Chrome CDP;screenshots;apply_patch","בוצע Visual QA ב-Chrome ל-36 קומבינציות של עמודי ניהול רוחבים navigation density; תוקנה גלישת טבלת משתמשים ב-768px rail והחסם QA-VISUAL נסגר",High,yes
